Date,URL,Result,Confidence
25-07-2026 20:58:31,https://google.com,🟢 Safe Website,51.96
25-07-2026 20:58:33,http://paypal-login-security.xyz,🔴 Phishing Website,75.79
25-07-2026 20:58:37,br-icloud.com.br,🔴 Phishing Website,74.07
25-07-2026 20:58:40,https://github.com,🔴 Phishing Website,79.55
25-07-2026 20:58:47,pinterest.com,🟢 Safe Website,75.12
25-07-2026 21:17:45,https://google.com,🟢 Safe Website,51.96
25-07-2026 21:35:44,http://paypal-login-security.xyz,🔴 Phishing Website,75.79
25-07-2026 21:49:49,http://192.168.1.10/login,🟢 Safe Website,81.13
25-07-2026 21:49:52,http://paypal-login-security.xyz,🔴 Phishing Website,75.79
25-07-2026 21:51:31,http://paypal-login-security.xyz,🔴 Phishing Website,75.79
25-07-2026 21:51:36,https://google.com,🟢 Safe Website,51.96
25-07-2026 21:52:25,http://192.168.1.10/login,🟢 Safe Website,81.13
26-07-2026 11:20:53,https://google.com,🟢 Safe Website,51.96
26-07-2026 11:29:09,https://google.com,🟢 Safe Website,51.96
26-07-2026 11:29:28,http://192.168.1.10/login,🟢 Safe Website,81.13
26-07-2026 11:29:31,http://paypal-login-security.xyz,🔴 Phishing Website,75.79
26-07-2026 11:29:35,http://192.168.1.10/login,🟢 Safe Website,81.13
26-07-2026 11:30:19,https://google.com,🟢 Safe Website,51.96
26-07-2026 11:30:49,http://192.168.1.10/login,🟢 Safe Website,81.13
26-07-2026 11:45:30,https://google.com,🟢 Safe Website,51.96
26-07-2026 11:45:36,http://paypal-login-security.xyz,🔴 Phishing Website,75.79
26-07-2026 11:45:47,http://paypal-logon-security.xyz,🔴 Phishing Website,78.55
26-07-2026 11:45:50,http://paypal-login-security.xyz,🔴 Phishing Website,75.79
